"gene_id","gene_name","n_isoforms","n_switching_isoforms","n_novel_switching_isoforms","n_switching_up","n_switching_down","max_abs_dif_switching","min_isoform_switch_q","min_gene_switch_q","novel_involved","has_multi_isoform_opposing_switch","dataset_key","dataset_label","rank"
"XLOC_020026","CCL22",4,2,2,1,1,0.882166666666667,3.15525412609546e-69,3.15525412609546e-69,TRUE,TRUE,"U_UT","U_UT",1
"XLOC_011393","IL23A",8,2,2,1,1,0.584466666666667,8.40519374477622e-17,8.40519374477622e-17,TRUE,TRUE,"U_UT","U_UT",2
"XLOC_025627","FSTL3",5,2,0,1,1,0.437166666666667,1.78021485105411e-13,1.78021485105411e-13,FALSE,TRUE,"U_UT","U_UT",3
"XLOC_021732","KDM6B",3,2,0,1,1,0.349433333333333,0.0110576302565346,0.0110576302565346,FALSE,TRUE,"U_UT","U_UT",4
"XLOC_041014","CASP6",7,2,0,1,1,0.3327,0.000151037124820606,0.000151037124820606,FALSE,TRUE,"U_UT","U_UT",5
"XLOC_017653","AQP9",4,2,1,1,1,0.324266666666667,1.67492245634786e-08,1.67492245634786e-08,TRUE,TRUE,"U_UT","U_UT",6
"XLOC_022194","CCL4",4,2,2,1,1,0.317466666666667,1.13743631208785e-96,1.13743631208785e-96,TRUE,TRUE,"U_UT","U_UT",7
"XLOC_053589","PBX3",2,2,1,1,1,0.309466666666667,7.40046585134206e-19,7.40046585134206e-19,TRUE,TRUE,"U_UT","U_UT",8
"XLOC_032056","MREG",7,2,0,1,1,0.308733333333333,6.41642409669184e-06,6.41642409669184e-06,FALSE,TRUE,"U_UT","U_UT",9
"XLOC_023567","CCL3",3,2,2,1,1,0.292766666666667,3.22891529763798e-57,3.22891529763798e-57,TRUE,TRUE,"U_UT","U_UT",10
"XLOC_033712","RGS19",4,2,0,1,1,0.288566666666667,2.60461280468907e-13,2.60461280468907e-13,FALSE,TRUE,"U_UT","U_UT",11
"XLOC_002833","UTS2",16,2,1,1,1,0.2337,2.37319292335412e-30,2.37319292335412e-30,TRUE,TRUE,"U_UT","U_UT",12
"XLOC_049326","FIGNL1",9,2,0,1,1,0.2121,0.00874629454924249,0.00874629454924249,FALSE,TRUE,"U_UT","U_UT",13
"XLOC_003850","XLOC_003850",10,2,2,1,1,0.206733333333333,0.0313016796079672,0.0313016796079672,TRUE,TRUE,"U_UT","U_UT",14
"XLOC_006137","OLMALINC",15,2,1,1,1,0.191,2.00115375660898e-05,2.00115375660898e-05,TRUE,TRUE,"U_UT","U_UT",15
"XLOC_016675","ENTPD5",8,2,1,1,1,0.1796,1.06068307262071e-07,1.06068307262071e-07,TRUE,TRUE,"U_UT","U_UT",16
"XLOC_056164","P2RY8",2,2,0,1,1,0.1769,1.0386661745288e-07,1.0386661745288e-07,FALSE,TRUE,"U_UT","U_UT",17
"XLOC_057581","P2RY8",2,2,0,1,1,0.1769,1.0386661745288e-07,1.0386661745288e-07,FALSE,TRUE,"U_UT","U_UT",18
"XLOC_033984","CBR3",2,2,1,1,1,0.175933333333333,0.0175434358624711,0.0175434358624711,TRUE,TRUE,"U_UT","U_UT",19
"XLOC_005330","NET1",3,2,0,1,1,0.1665,0.0302548864782146,0.0302548864782146,FALSE,TRUE,"U_UT","U_UT",20
"XLOC_034110","ENSG00000272825",2,2,2,1,1,0.163166666666667,3.81030758430311e-11,3.81030758430311e-11,TRUE,TRUE,"U_UT","U_UT",21
"XLOC_038616","RPL22P1",2,2,1,1,1,0.155666666666667,0.000246680512369658,0.000246680512369658,TRUE,TRUE,"U_UT","U_UT",22
"XLOC_010543","CCDC153",6,1,1,1,0,0.527466666666667,2.30254485771752e-05,2.30254485771752e-05,TRUE,FALSE,"U_UT","U_UT",23
"XLOC_045701","ENSG00000225177",7,1,0,0,1,0.4188,0.00103922329770077,0.00103922329770077,FALSE,FALSE,"U_UT","U_UT",24
"XLOC_000487","TAF12-DT",5,1,1,1,0,0.395266666666667,0.000853508550299683,0.000853508550299683,TRUE,FALSE,"U_UT","U_UT",25
"XLOC_045594","NCOA7",10,1,0,1,0,0.3771,2.16011025888117e-07,2.16011025888117e-07,FALSE,FALSE,"U_UT","U_UT",26
"XLOC_012026","SBNO1-AS1",4,1,0,0,1,0.374366666666667,3.85469275028443e-05,3.85469275028443e-05,FALSE,FALSE,"U_UT","U_UT",27
"XLOC_002721","LINC00115",6,1,0,1,0,0.360066666666667,8.85676458418919e-09,8.85676458418919e-09,FALSE,FALSE,"U_UT","U_UT",28
"XLOC_004551","TNFSF4",5,1,1,1,0,0.343966666666667,5.7486059983822e-11,5.7486059983822e-11,TRUE,FALSE,"U_UT","U_UT",29
"XLOC_047614","PALS2",10,1,1,1,0,0.3279,1.27066255539837e-14,1.27066255539837e-14,TRUE,FALSE,"U_UT","U_UT",30
